player,pos,total_g,seasons,season_count,ts_percent,e_fg_percent,x3p_ar,f_tr,x3p_percent,x2p_percent,ft_percent,usg_percent,obpm,ast_percent,tov_percent,orb_percent,drb_percent,trb_percent,stl_percent,blk_percent,bad_pass_turnover_pg,lost_ball_turnover_pg,shooting_foul_committed_pg,offensive_foul_committed_pg,shooting_foul_drawn_pg,and1_pg,fga_blocked_pg,points_generated_by_assists_pg,cluster
A.C. Green,PF,379,"['1997', '1998', '1999', '2000', '2001']",5,0.49076253298153033,0.4528891820580475,0.020857519788918207,0.30868865435356196,0.06503957783641161,0.4613562005277045,0.6777994722955145,12.541952506596306,-1.316094986807388,5.451715039577837,10.264643799472296,9.381530343007915,18.62928759894459,13.990237467018469,1.4482849604221635,0.5781002638522427,0.2796833773087071,0.1820580474934037,0.6226912928759895,0.0712401055408971,0.6437994722955145,0.14511873350923482,0.3825857519788918,2.0131926121372032,4
A.J. Green,SG,164,"['2023', '2024', '2025']",3,0.6166463414634147,0.605,0.8546341463414635,0.06843902439024391,0.4188048780487805,0.47044512195121957,0.8817987804878049,14.341463414634148,-0.9573170731707317,7.8256097560975615,7.025609756097561,1.4859756097560977,10.051829268292682,5.934756097560975,0.899390243902439,0.3829268292682927,0.17073170731707316,0.10975609756097561,0.8231707317073171,0.036585365853658534,0.07317073170731707,0.024390243902439025,0.04268292682926829,2.524390243902439,8
A.J. Guyton,PG,78,"['2001', '2002']",2,0.48461538461538456,0.4643076923076923,0.44265384615384606,0.1038076923076923,0.38119230769230766,0.37576923076923074,0.8226153846153845,19.788461538461537,0.4115384615384615,21.27307692307692,11.796153846153846,2.088461538461538,5.792307692307691,3.861538461538461,0.8576923076923076,0.773076923076923,0.46153846153846145,0.23076923076923075,0.34615384615384615,0.01282051282051282,0.16666666666666666,0.02564102564102564,0.07692307692307693,4.115384615384615,0
A.J. Hammons,C,22,['2017'],1,0.472,0.464,0.238,0.476,0.5,0.375,0.45,17.6,-6.6,3.8,16.4,5.4,21.0,12.8,0.3,7.2,0.0,0.13636363636363635,0.4090909090909091,0.22727272727272727,0.36363636363636365,0.0,0.22727272727272727,0.45454545454545453,7
A.J. Lawson,SG,68,"['2024', '2025']",2,0.5277941176470589,0.5030588235294118,0.4585,0.24429411764705883,0.28561764705882353,0.5582647058823529,0.6638529411764706,20.0,-2.488235294117647,8.976470588235294,8.376470588235295,4.670588235294118,13.479411764705883,9.067647058823528,1.423529411764706,0.9529411764705882,0.25,0.10294117647058823,0.4411764705882353,0.014705882352941176,0.6029411764705882,0.10294117647058823,0.29411764705882354,1.852941176470588,8
A.J. Price,PG,261,"['2010', '2011', '2012', '2013', '2014', '2015']",6,0.48188122605363987,0.4537969348659004,0.4785593869731801,0.18264367816091953,0.308360153256705,0.4440344827586207,0.673264367816092,20.86436781609195,-0.8176245210727969,23.18927203065134,12.801915708812261,1.8992337164750956,8.931800766283526,5.388888888888888,1.5413793103448277,0.1563218390804598,0.5287356321839081,0.22988505747126436,0.44827586206896547,0.04597701149425288,0.4482758620689655,0.13409961685823754,0.20306513409961685,5.015325670498084,0
AJ Griffin,SF,92,"['2023', '2024']",2,0.534608695652174,0.518913043478261,0.5170869565217392,0.07582608695652174,0.36086956521739133,0.4951304347826087,0.9170434782608696,17.769565217391303,-1.5391304347826087,6.282608695652174,8.01304347826087,2.5304347826086957,9.504347826086956,5.934782608695652,1.1608695652173913,0.7869565217391303,0.2282608695652174,0.1956521739130435,0.5434782608695653,0.010869565217391304,0.2608695652173913,0.043478260869565216,0.27173913043478265,2.032608695652174,8
AJ Johnson,SG,29,['2025'],1,0.48,0.441,0.423,0.174,0.267,0.472,0.865,17.4,-5.6,17.1,13.2,1.3,8.3,4.8,0.9,0.4,0.7241379310344828,0.27586206896551724,1.1379310344827587,0.06896551724137931,0.6206896551724138,0.10344827586206896,0.6206896551724138,6.551724137931035,0
Aaron Brooks,PG,645,"['2008', '2009', '2010', '2011', '2013', '2014', '2015', '2016', '2017', '2018']",10,0.5219069767441861,0.48652868217054257,0.41277674418604643,0.18964806201550385,0.36589767441860466,0.44365116279069766,0.8260062015503876,22.526356589147287,-0.3716279069767442,23.03488372093023,14.629457364341084,2.2296124031007754,6.902945736434107,4.575813953488372,1.370077519379845,0.5156589147286821,0.8821705426356589,0.46046511627906983,0.9100775193798448,0.08217054263565891,0.5674418604651162,0.10852713178294573,0.5596899224806202,6.854263565891472,0
Aaron Gordon,PF,720,"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",11,0.5632083333333333,0.5337638888888888,0.29287777777777785,0.30753749999999996,0.3243722222222222,0.5487944444444445,0.6968944444444445,19.886111111111113,0.5963888888888889,13.322083333333333,11.044861111111112,6.686527777777778,16.85875,11.75625,1.235277777777778,1.8343055555555556,0.6194444444444445,0.37361111111111106,0.9625000000000001,0.28194444444444444,1.5694444444444442,0.4083333333333333,0.651388888888889,6.302777777777778,5
